no,page,jap,eng,small,vmn,chn
30,mochi,自宅が倒壊した場合は避難所での生活を送ることになります。救援物資が届くまで最短でも3日かかると想定しましょう。,If your house collapses、 you will have to live in an evacuation center. please assume that it will take at least three days for relief supplies to arrive.,いえがたおれたばあいはひなんするばしょでせいかつをおくることになります。,Nếu nhà của bạn bị sập、 bạn sẽ phải sống tại nơi trú ẩn. Hãy chuẩn bị tâm lý rằng việc cứu trợ có thể mất ít nhất 3 ngày để đến.,如果房屋倒塌、可能需要在避难所生活。预计救援物资至少需要3天才能到达、因此需要提前准备足够的食品和饮用水。
31,mochi,震災時には、電気ガスが使えない可能性があります。その状況で生き延びるために火を起こすことが重要です。また、食べ物を温めたり、食べられる物を確保して加熱して食べる必要が出てくるかもしれません。,In the event of an earthquake、 electric gas may not be available. It is important to start a fire to survive in that situation. Also you may need to heat your food or find something edible to heat up before eating.,しんさいのときには、でんきガスがつかえないかのうせいがあります。そのじょうきょうでいきのびるためにひをおこすことがじゅうようです。また、たべものをあたためたり、たべられるものをかくほしてかねつしてたべるひつようがでてくるかもしれません。,Trong trường hợp động đất、 có thể không sử dụng được điện và gas. Vì vậy、 việc tạo lửa để sinh tồn trong tình huống này là rất quan trọng. Ngoài ra、 có thể bạn sẽ cần phải làm nóng thức ăn hoặc tìm kiếm những món ăn có thể ăn được và đun nóng trước khi ăn.,地震发生时、电和燃气可能无法使用。在这种情况下、生火至关重要、可以用来加热食物、确保能够吃到安全的食物。
32,mochi,・毛布,blanket,・もうふ,・Chăn,毛毯
33,mochi,・カイロ,hot pack,・カイロ,・Tấm sưởi ấm ,暖宝宝
34,mochi,・アルミホイル,aluminum foil,・アルミホイル,・Giấy bạc (bọc thực phẩm),铝箔
35,mochi,冬に災害が起こった場合には、寒さで寝れなかったり風邪をひいたりします。また、お年寄りや赤ちゃん、体が弱い人は、低体温症になる可能性があります。,you cannot sleep and get ill because of cold in the case of a disaster in winter.also baby、elderly、and person who is in delicate health may be hypothermia.  ,ふゆにさいがいがおこったばあいには、さむさでねれなかったりかぜをひいたりします。また、おとしよりやあかちゃん、からだがよわいひとは、ていたいおんしょうになるかのうせいがあります。,Khi xảy ra thảm họa vào mùa đông、 bạn có thể không ngủ được vì lạnh hoặc có thể bị cảm lạnh. Ngoài ra、 những người già、 em bé và những người có sức khỏe yếu có thể gặp nguy cơ bị hạ thân nhiệt.,冬季发生灾害时、低温可能导致失眠或感冒。特别是老人、婴儿及身体虚弱者、可能面临失温风险。
36,mochi,大きな災害が発生するとケガをする可能性が高くなります。災害直後は医療体制も混乱することが考えられるため、応急手当てができるように救急セットを用意しておきましょう。,when the huge disaster strikes、you are likely to get hurt.make sure to prepare first aid kit to be able to first aid as immediately after a disaster、 the medical system may be confused.,おおきなさいがいがはっせいするとケガをするかのうせいがたかくなります。さいがいちょくごはいりょうたいせいもこんらんすることがかんがえられるため、おうきゅうてあてができるようにきゅうきゅうセットをよういしておきましょう。,Khi thảm họa lớn xảy ra、 khả năng bị thương sẽ tăng cao. Ngay sau thảm họa、 hệ thống y tế có thể bị hỗn loạn、 vì vậy hãy chuẩn bị một bộ sơ cứu để có thể thực hiện các biện pháp cấp cứu.,重大灾害发生时、受伤的可能性很高。由于灾害初期医疗体系可能混乱、建议提前准备急救包、以便进行应急处理。
37,mochi,情報を収集したり家族の安否を確認するために必要になります。,it need in order to collect information and confirm the safety of family members.,じょうほうをあつめたりかぞくのあんぴをかくにんするためひつようになります。,Điều này là cần thiết để thu thập thông tin và kiểm tra tình trạng an toàn của gia đình.,了解信息、确认家人安全、手机是必需品。但是、灾害发生时可能会停电、无法为手机充电。因此、准备移动电源可以在停电期间保持通讯畅通、减少焦虑感。
38,mochi,・ウェットティッシュ・トイレットペーパー,wet wipes/toilet paper,・ウエットティッシュ・トイレットペーパー,・Khăn ướt và giấy vệ sinh,湿巾・卫生纸
39,mochi,・歯ブラシ,toothbrush,・はぶらし,・Bàn chải đánh răng,牙刷
40,mochi,・タオル,towel,・タオル,・Khăn tắm,毛巾
41,mochi,・マスク,mask,・マスク,・Khẩu trang,口罩
42,mochi,・生理用品,sanitary items,・せいりようひん,・Dụng cụ vệ sinh phụ nữ,生理用品
43,mochi,・災害発生時には水の供給がストップして、入浴や歯磨きなどが十分にできなくなるかもしれません。体が不衛生な状態が続くと健康を害しやすいため、衛生用品の準備には万全にしておきましょう。,you may be hardly able to brush teeth and take a bath because of water outage when disaster strikes. make sure to prepare your hygiene supplies as it makes you unhealthy to stay unsanitary.,・さいがいのときにはみずのきゅうきゅうがすとっぷして、にゅうよくやはみがきなどがじゅうぶんにできなくなるかもしれます。からだふえいせいなじょうたいがつづくとけんこうをわるくしてしまうため、えいせいようひんのじゅんびにはばんぜんにしておきましょう。,・Khi thảm họa xảy ra、 nguồn cung cấp nước có thể bị ngừng、 và bạn có thể không thể tắm rửa hay đánh răng đầy đủ. Nếu cơ thể duy trì trong tình trạng không vệ sinh trong thời gian dài、 sức khỏe sẽ dễ bị ảnh hưởng. Vì vậy、 hãy chuẩn bị đầy đủ các dụng cụ vệ sinh để đảm bảo sức khỏe.,・灾害发生时、供水可能中断、无法充分洗澡或刷牙。为了保持个人卫生、请提前准备必要的卫生用品。
44,mochi,避難所で私物に名前を書いたり、伝言を残したりする時に必要になります。,it need in order to leave a message and write name on personal belongings at the evacuation center.,ひなんしたばしょでじぶんのものになまえをかいたり、でんごんをのこしたりするひつようになります。,Điều này sẽ cần thiết khi bạn cần ghi tên lên đồ cá nhân hoặc để lại lời nhắn tại nơi trú ẩn.,・在避难所、需要在个人物品上写名字或留下留言时、这些物品会派上用场。
45,mochi,・粉ミルク・離乳食・哺乳瓶・スプーン,powdered milk、 baby food、 baby bottle、 spoon,・こなみるく・りにゅうしょく・ほにゅうびん・すぷーん,・Sữa bột、 thức ăn dặm、 bình sữa、 thìa,奶粉・辅食・奶瓶・勺子
46,mochi,・バスタオル・ガーゼ・着替え,bath towel、 gauze、 change of clothes,・ばすたおる・がーぜ・きがえ,・Khăn tắm、 gạc、 quần áo thay thế,浴巾・纱布・换洗衣物
47,mochi,・おむつ・お尻ふき,diapers and wipes,・おむつ・おしりふき,・Tã、 khăn ướt,尿布・湿巾
48,mochi,・母子手帳,mother and child handbook,・ぼしてちょう,・Sổ sức khỏe mẹ và bé,母子健康手册
49,mochi,・おもちゃ,toys,・おもちゃ,・Đồ chơi,玩具
50,mochi,・非常食・飲料水,emergency food/drinking water,・ひじょうしょく・のみみず,・Thực phẩm khẩn cấp、 nước uống,紧急粮食・饮用水
51,mochi,・避難用具（ケージ、クレート、キャリーケース）,evacuation equipment (cage、 crate、 carry case),・けーじ・くれーと・きゃりーけーす,・Dụng cụ sơ tán (lồng、 hộp đựng、 túi xách),避难工具（笼子、航空箱、便携箱）
52,mochi,・鑑札・迷子札,License/Lost tag,・かんさつ・まいごふだ,・Thẻ nhận diện、 thẻ tên cho thú cưng,识别牌・防丢牌
53,mochi,・タオル、新聞紙,towels、 newspaper,・たおる・しんぶんし,・Khăn tắm、 báo giấy,毛巾・报纸
54,mochi,チェックの数,number of checks,チェックの数,Số lượng kiểm tra,选择数量
55,mochi,長押しタップ,long tap,長押しタップ,Nhấn giữ,长按
0,ooame,大雨の時の自分の行動を整理しましょう,Arrange your actions during heavy rain,おおあめのときのじぶんのこうどうをみなおしましょう,Hãy sắp xếp hành động của bạn trong thời gian mưa lớn.,整理暴雨时的行动计划
1,ooame,「大雨時の行動整理」ボタンを押して、身の回りの災害リスクを明らかにし、大雨時の自分の行動を決めておきましょう。,Press [Arrange actions during heavy rain] button to clarify the disaster risk around you and decide what to do in case of heavy rain.,「おおあめのときのじぶんのこうどうをみなおそう」ぼたんをおして、じぶんのまわりのさいがいのかのうせいをみて、おおあめのときのじぶんのとらなきゃいけないうごきをかくにんしましょう。,"Hãy nhấn nút ""Sắp xếp hành động trong mưa lớn"" để làm rõ các rủi ro thiên tai xung quanh bạn và quyết định hành động của mình trong thời gian mưa lớn.",点击“暴雨时的行动整理”按钮、明确周围的灾害风险、并提前规划暴雨时的行动方案。
2,ooame,大雨の時のあなたの避難行動,your actions during heavy rain,おおあめのときのあなたのひなんするためのうごき,Hành động sơ tán của bạn trong thời gian mưa lớn.,暴雨时的避难行动
3,ooame,立退き避難先,evacuation site,ひなんさき,Nơi sơ tán khi di tản,撤离避难地点
4,ooame,親戚・知人宅,friend's house etc.,しんせき・ともだちのいえ,Nhà của họ hàng hoặc bạn bè,亲戚・朋友家
5,ooame,指定緊急避難場所,emergency evacuation site,きけんなとき、いのちをまもるためにじぶんたちでいそいでひなんするためのばしょ,Nơi trú ẩn khẩn cấp được chỉ định,指定紧急避难场所
6,ooame,移動手段・移動時間,transportation、time,うごくためのほうほう・うごくためにかかるじかん,Phương tiện di chuyển・Thời gian di chuyển,移动方式・移动时间
0,ooame1,問１　自宅に災害リスクがありますか？,Q1 Does your house have disaster risk?,もんだい1　じぶんのいえにさいがいのかのうせいがありますか？,Câu hỏi 1: Nhà của bạn có nguy cơ thiên tai không?,问题1：您的住所是否存在灾害风险？
1,ooame1,水害のリスク,flood risk,こうずいのせいでおこるさいがいのかのうせい,Nguy cơ lũ lụt,水灾风险
2,ooame1,浸水の深さを入力してください,enter the depth of inundation,みずがはいってきたときのみずのふかさをにゅうりょくしてください,Hãy nhập độ sâu ngập nước.,请输入可能的淹水深度
3,ooame1,土砂災害のリスク,Landslide risk,やまやがけがくずれたり、つちやすながかわにながれたりするかのうせい,Nguy cơ lở đất,山体滑坡风险
0,ooame2,問２　自宅を離れた避難（立退き避難）が必要ですか？,Do you need an evacuation away from home?,もんだい2　じぶんのいえからはなれたひなんがひつようですか？,Câu hỏi 2: Có cần phải di tản rời khỏi nhà (di tản cưỡng chế) không?,问题2：是否需要撤离避难？
1,ooame2, 条件が一つでも当てはまれば、立退き避難が必要です。,If even one of the conditions is met、 it is necessary to evacuate.,ひとつでもあてはまるものがあったら、いそいでそのばをはなれてひなんそろことがだいじです。,Nếu một trong các điều kiện này được áp dụng、 thì việc di tản cưỡng chế là cần thiết.,如果符合以下任一条件、就需要撤离避难。
2,ooame2,水害のリスク,flood risk,こうずいのせいでおこるさいがいのかのうせい,Nguy cơ lũ lụt,水灾风险
3,ooame2,家屋倒壊等氾濫想定区域である,It is an area where flooding that collapses houses is expected.,いえがこわれるかのうせいがあるばしょである,Là khu vực dự kiến bị ngập lụt hoặc sập nhà.,住所位于洪水泛滥预想区域
4,ooame2,居室は、浸水の深さより低い,The living room is lower than the depth of inundation,へや・しんしつ・だいどころはみずがはいってきたときのたかさよりひくい,Phòng ở thấp hơn độ sâu ngập nước,居住房间低于预想淹水深度
5,ooame2,水・食料奈等の備えが十分でない,Insufficient stock of water、 food、 etc.,みず・たべものなどのじゅんびができていない,Không có đủ nước、 thực phẩm、 hoặc đồ dự trữ cần thiết,水和食物等储备不足
6,ooame2,土砂災害のリスク,Landslide risk,やまやがけがくずれたり、つちやすながかわにながれたりするかのうせい,Nguy cơ lở đất,山体滑坡风险
7,ooame2,十分堅牢なマンションの上階等ではない,Not on the upper floors of a sufficiently robust apartment,かたくてじょうぶなマンジョンのうえのほうではない,Không phải là tầng trên của tòa nhà chung cư đủ kiên cố,住所并非坚固的高层建筑
0,ooame3,問３　立退き避難の避難先はどこですか？ ,Q3 Where is the evacuation site?,もんだい3　ひなんさきはどこですか？,Câu hỏi 3: Nơi di tản khi sơ tán cưỡng chế của bạn ở đâu?,问题3：撤离避难的目的地是哪里？
1,ooame3,問２で災害リスクがない場合も危険を感じた場合の立退き避難先を考えてください。,Even if there is no disaster risk in Q2、 think about where to evacuate if you feel danger.,もんだい2でさいがいのかのうせいないときもあぶないとかんじたときのみをまもるためのひなんさきをかんがえてください。,Ngay cả khi không có nguy cơ thiên tai trong Câu hỏi 2、 hãy suy nghĩ về nơi di tản cưỡng chế nếu bạn cảm thấy nguy hiểm.,即使在问题2中没有灾害风险、也请考虑在感到危险时的撤离避难地点。
2,ooame3,A 安全な場所に住んでいて身を寄せられる親戚や知人はいますか？　いたら記入してください。,A Do you have relatives or acquaintances who live in a safe place and can go to?  Please fill in if applicable.,A　あんぜんなばしょにすんでいてしんらいできるしんせきやともだちはいますか？,A. Có người thân hoặc bạn bè nào sống ở nơi an toàn mà bạn có thể nương nhờ không? Nếu có、 hãy ghi rõ.,A 您是否有住在安全地区并可依靠的亲戚或朋友？如有、请填写。
3,ooame3,B 指定緊急避難場所はどこですか？,B Where is the assigned　emergency evacuation site?,B　きめてあるひなんばしょはどこですか？,B. Nơi trú ẩn khẩn cấp được chỉ định của bạn ở đâu?,B 指定的紧急避难场所在哪里？
0,ooame4,問４　自分または一緒に避難する方は避難に時間がかかりますか？,Q4 Does it take any time for you or the person evacuating with you to evacuate?,もんだい4　じぶん、またはいっしょにひなんするひとはひなんにじかんがかかりますか？,Câu hỏi 4: Bạn hoặc những người sơ tán cùng bạn có mất nhiều thời gian để sơ tán không?,问题4：您或同行避难者是否需要较长的避难时间？
1,ooame4,※本アプリは移動時間の合計が30分を目安に判定を行います。,This application judges the total move time based on 30 minutes as a guide.,※このアプリはいどうじかんのごうけいが３０分をきじゅんにじかんをはかっています。,※ Ứng dụng này sẽ đánh giá dựa trên tổng thời gian di chuyển khoảng 30 phút.,※本应用将避难所需的总时间以30分钟为基准进行判断。
2,ooame4,誰と,with who,だれと,Đi cùng ai,与谁同行
3,ooame4,移動手段,transportation,いどうのほうほう,Phương tiện di chuyển,移动方式
4,ooame4,準備にかかる時間,time to prepare,いどうにかかるじかん,Thời gian chuẩn bị,准备所需时间
5,ooame4,移動にかかる時間,time to move,いどうにかかるじかん,Thời gian di chuyển,移动所需时间
6,ooame4,移動時間の合計,total move time,いどうじかんのごうけい,Tổng thời gian di chuyển,总移动时间
0,ooame5,問５　自宅に、予測が困難な災害リスクがありますか？,Q5 Does your home have disaster risks that are difficult to predict?,もんだい5　じぶんのいえに、そうぞうができないようなさいがいのかのうせいがありますか？,Câu hỏi 5: Nhà của bạn có nguy cơ thiên tai khó dự đoán không?,问题5：您的住所是否存在难以预测的灾害风险？
1,ooame5,自宅に、以下の条件が当てはまりますか?１つでも当てはまれば、予測困難な災害リスク「あり」です。,Do any of the following apply to your home? If even one is true、 there is a disaster risk that is difficult to predict.,じぶんのいえに、このしたのじょうけんがあてはまりますか？ひとつでもあてはまったら、そうぞうができないようなさいがいのかのうせい「あり」です。,Nhà của bạn có thuộc các điều kiện sau đây không? Nếu có một điều kiện áp dụng、 sẽ được coi là có nguy cơ thiên tai khó dự đoán.,您的住所是否符合以下条件？如果符合任意一项、则存在难以预测的灾害风险。
2,ooame5,(１)急激な水位上昇のおそれがある河川が近くにある。,(1)There is a nearby river that is at risk of a sudden rise in water level.,(1)　きゅうにみずがふえるかのうせいがあるかわがちかくにある。,(1) Có con sông gần đó có khả năng mực nước tăng đột ngột.,1.住所附近有可能发生急剧水位上升的河流。
3,ooame5,(２)土砂災害のリスクがある。,(2)There is a risk of landslide disaster.,(2)　やまやがけがくずれたり、つちやすながかわにながれたりするかのうせいがある。,(2) Có nguy cơ lở đất.,2.存在山体滑坡的风险。
0,ooame_lv1,安全な場所にいる人まで避難する必要はありません,People in safe places do not need to evacuate.,あんぜんなばしょにいるひとまでひなんするひつようはないです,Những người ở nơi an toàn không cần phải sơ tán.,处于安全地区的人无需避难。
1,ooame_llv1,ハザードマップで表現されていない災害リスクを見逃さないよう、事前にしっかり確認しましょう,Be sure to check in advance so that you do not miss any disaster risks that are not displayed on the hazard map.,ハザードマップにかかれていないさいがいのかのうせいをみおとさないように、しっかりとかくにんしましょう。,Hãy kiểm tra kỹ trước để không bỏ sót các rủi ro thiên tai không được thể hiện trên bản đồ nguy cơ.,请提前仔细确认、避免忽略灾害地图上未标示的灾害风险。
0,ooame_llv2,自宅に留まり安全確保することも可能です,You can stay home and stay safe,じぶんのいえにいてあんぜんをたもつこともできます,Bạn cũng có thể ở lại nhà để đảm bảo an toàn.,也可以选择留在家中确保安全。
