no,page,jap,eng,small
31,mochi,震災時には、電気ガスが使えない可能性があります。その状況で生き延びるために火を起こすことが重要です。また、食べ物を温めたり、食べられる物を確保して加熱して食べる必要が出てくるかもしれません。,In the event of an earthquake、 electric gas may not be available. It is important to start a fire to survive in that situation. Also you may need to heat your food or find something edible to heat up before eating.,
32,mochi,・毛布,blanket,
33,mochi,・カイロ,hot pack,
34,mochi,・アルミホイル,aluminum foil,
35,mochi,冬に災害が起こった場合には、寒さで寝れなかったり風邪をひいたりします。また、お年寄りや赤ちゃん、体が弱い人は、低体温症になる可能性があります。,you cannot sleep and get ill because of cold in the case of a disaster in winter.also baby、elderly、and person who is in delicate health may be hypothermia.  ,
36,mochi,大きな災害が発生するとケガをする可能性が高くなります。災害直後は医療体制も混乱することが考えられるため、応急手当てができるように救急セットを用意しておきましょう。,when the huge disaster strikes、you are likely to get hurt.make sure to prepare first aid kit to be able to first aid as immediately after a disaster、 the medical system may be confused.,
37,mochi,情報を収集したり家族の安否を確認するために必要になります。,it need in order to collect information and confirm the safety of family members.,
38,mochi,・ウェットティッシュ・トイレットペーパー,wet wipes/toilet paper,
39,mochi,・歯ブラシ,toothbrush,
40,mochi,・タオル,towel,
41,mochi,・マスク,mask,
42,mochi,・生理用品,sanitary items,
43,mochi,・災害発生時には水の供給がストップして、入浴や歯磨きなどが十分にできなくなるかもしれません。体が不衛生な状態が続くと健康を害しやすいため、衛生用品の準備には万全にしておきましょう。,you may be hardly able to brush teeth and take a bath because of water outage when disaster strikes. make sure to prepare your hygiene supplies as it makes you unhealthy to stay unsanitary.,
44,mochi,避難所で私物に名前を書いたり、伝言を残したりする時に必要になります。,it need in order to leave a message and write name on personal belongings at the evacuation center.,
45,mochi,・粉ミルク・離乳食・哺乳瓶・スプーン,powdered milk、 baby food、 baby bottle、 spoon,
46,mochi,・バスタオル・ガーゼ・着替え,bath towel、 gauze、 change of clothes,
47,mochi,・おむつ・お尻ふき,diapers and wipes,
48,mochi,・母子手帳,mother and child handbook,
49,mochi,・おもちゃ,toys,
50,mochi,・非常食・飲料水,emergency food/drinking water,
51,mochi,・避難用具（ケージ、クレート、キャリーケース）,evacuation equipment (cage、 crate、 carry case),
52,mochi,・鑑札・迷子札,License/Lost tag,
53,mochi,・タオル、新聞紙,towels、 newspaper,
0,ooame,大雨の時の自分の行動を整理しましょう,Arrange your actions during heavy rain,
1,ooame,「大雨時の行動整理」ボタンを押して、身の回りの災害リスクを明らかにし、大雨時の自分の行動を決めておきましょう。,Press [Arrange actions during heavy rain] button to clarify the disaster risk around you and decide what to do in case of heavy rain.,
2,ooame,大雨の時のあなたの避難行動,your actions during heavy rain,
3,ooame,立退き避難先,evacuation site,
4,ooame,親戚・知人宅,friend's house etc.,
5,ooame,指定緊急避難場所,emergency evacuation site,
6,ooame,移動手段・移動時間,transportation、time,
0,ooame1,問１　自宅に災害リスクがありますか？,Q1 Does your house have disaster risk?,
1,ooame1,水害のリスク,flood risk,
2,ooame1,浸水の深さを入力してください,enter the depth of inundation,
3,ooame1,土砂災害のリスク,Landslide risk,
0,ooame2,問２　自宅を離れた避難（立退き避難）が必要ですか？,Q2 Do you need an evacuation away from home?,
1,ooame2, 条件が一つでも当てはまれば、立退き避難が必要です。,If even one of the conditions is met、 it is necessary to evacuate.,
2,ooame2,水害のリスク,flood risk,
3,ooame2,家屋倒壊等氾濫想定区域である,It is an area where flooding that collapses houses is expected.,
4,ooame2,居室は、浸水の深さより低い,The living room is lower than the depth of inundation,
5,ooame2,水・食料奈等の備えが十分でない,Insufficient stock of water、 food、 etc.,
6,ooame2,土砂災害のリスク,Landslide risk,
7,ooame2,十分堅牢なマンションの上階等ではない,Not on the upper floors of a sufficiently robust apartment,
0,ooame3,問３　立退き避難の避難先はどこですか？ ,Q3 Where is the evacuation site?,
1,ooame3,問２で災害リスクがない場合も危険を感じた場合の立退き避難先を考えてください。,Even if there is no disaster risk in Q2、 think about where to evacuate if you feel danger.,
2,ooame3,A 安全な場所に住んでいて身を寄せられる親戚や知人はいますか？　いたら記入してください。,A Do you have relatives or acquaintances who live in a safe place and can go to?  Please fill in if applicable.,
3,ooame3,B 指定緊急避難場所はどこですか？,B Where is the assigned　emergency evacuation site?,
0,ooame4,問４　自分または一緒に避難する方は避難に時間がかかりますか？,Q4 Does it take any time for you or the person evacuating with you to evacuate?,
1,ooame4,※本アプリは移動時間の合計が30分を目安に判定を行います。,This application judges the total move time based on 30 minutes as a guide.,
2,ooame4,誰と,with who,
3,ooame4,移動手段,transportation,
4,ooame4,準備にかかる時間,time to prepare,
5,ooame4,移動にかかる時間,time to move,
6,ooame4,移動時間の合計,total move time,
0,ooame5,問５　自宅に、予測が困難な災害リスクがありますか？,Q5 Does your home have disaster risks that are difficult to predict?,
1,ooame5,自宅に、以下の条件が当てはまりますか?１つでも当てはまれば、予測困難な災害リスク「あり」です。,Do any of the following apply to your home? If even one is true、 there is a disaster risk that is difficult to predict.,
2,ooame5,(１)急激な水位上昇のおそれがある河川が近くにある。,(1)There is a nearby river that is at risk of a sudden rise in water level.,
3,ooame5,(２)土砂災害のリスクがある。,(2)There is a risk of landslide disaster.,
0,ooame_lv1,安全な場所にいる人まで避難する必要はありません,People in safe places do not need to evacuate.,
1,ooame_llv1,ハザードマップで表現されていない災害リスクを見逃さないよう、事前にしっかり確認しましょう,Be sure to check in advance so that you do not miss any disaster risks that are not displayed on the hazard map.,
0,ooame_llv2,自宅に留まり安全確保することも可能です,You can stay home and stay safe,
1,ooame_llv2,少しでも上へ移動　山や崖等から離れた部屋へ移動　危険を感じたら立退き避難,Move up even a little. Move to a room away from mountains、 cliffs、 etc. Evacuate if you feel danger.,
0,ooame_llv3,警戒レベル３で確実に避難,Surely evacuate at alert level 3,
1,ooame_llv3,高齢者等避難,Evacuation order for the elderly,
0,ooame_llv4,警戒レベル４で確実に避難,Surely evacuate at alert level 4,
1,ooame_llv4,避難指示,evacuation order,
0,ooame6,大雨時の行動整理,Arrange actions during heavy rain,
1,ooame6,ハザードマップを表示,display hazard map,
2,ooame6,避難所を表示,display evacuation center,
3,ooame6,判定,judge,
4,ooame6,次へ,next,
0,hinan,目的の避難場所を選んで、ルートボタンを押してください,Please select the target evacuation site and press the route button.,
1,hinan,洪水,flood,
2,hinan,地震,earthquake,
3,hinan,津波,tsunami,
4,hinan,避難所,Shelter,
5,hinan,もどる,return,
6,hinan,現在地,current location,
7,hinan,検索,search,
8,hinan,ルート,root,
9,hinan,撮る,screenshot,
10,hinan,ピンを選んで長押しすると、”ルート”を表示します,Select a pin and press and hold to display the route to the destination,
11,hinan,住所から検索,Search by address,
0,hinanSave,インターネットに接続できない状態に備えて、避難所・避難場所や避難所までのルート等を保存するページです。最大４画面保存できます。,This page saves evacuation sites、 evacuation sites、 routes to evacuation sites、 etc. in case you cannot connect to the Internet. Up to 4 screens can be saved.,
1,hinanSave,画像をタップすると拡大できます。画像を長押しすると削除できます。,Tap the image to enlarge. Press and hold the image to delete it.,
2,hinanSave,撮影する,shoot,
3,hinanSave,削除確認,Delete confirmation,
4,hinanSave,このデータを削除していいですか？,Are you sure you want to delete this data?,
5,hinanSave,データがいっぱいです。,Data is full.,
6,hinanSave,新しい写真を保存するには、既存の写真を削除してください。,Please delete the existing photo to save the new photo.,
7,hinanSave,削除するには、対象の写真を長押ししてください。,Long press on the desired photo to delete it.,
1,lv1,心構えを高める！, Increase preparedness !,
2,lv1,災害への心構えを高める必要があることを示す警戒レベル１です。,this is level 1 which indicates that you have necessary to increase preparedness.,
3,lv1,最新の防災気象情報等に留意するなど、災害への心構えを高めてください。,please increase your preparedness for disaster to pay attension to the newest disaster privention informasion and so on,
4,lv2,避難行動の確認！,confirm the action for refuge,
5,lv2,避難行動の確認が必要とされる警戒レベル２です。,this is level 2 which indicates that requires to confirm the action for refuge,
6,lv2,ハザードマップ等により、災害が想定されている区域や避難先、避難経路を確認してください。,please confirm the action for refuge and check evacuation sites and areas where disasters are estimated ,
7,lv3,高齢者は危険な場所から避難！,seniors please refuge from dangerous place,
8,lv3,地元の自治体が警戒レベル３高齢者等避難を発令する目安となる情報です。高齢者等は危険な場所からの避難が必要とされる警戒レベル３に相当します。,this is level 3 which indicates that seniors need to refuge from dangerous place. And this is a standard information that municipalities issue evacuation order for elderly、etc.,
9,lv3,災害が想定されている区域等では、自治体からの高齢者等避難の発令に留意するとともに、高齢者等以外の方もキキクル（危険度分布）や河川の水位情報等を用いて避難の準備をしたり自ら避難の判断をしたりしてください。,please pay attension to anouncement evacuation order for elderly、etc. others get ready to refuge and figure to refuge by yourselves by considering Kikikuru or River water level infomation. ,
10,lv4,危険な場所から避難！,please refuge from dangerous place,
11,lv4,地元の自治体が警戒レベル４避難指示を発令する目安となる情報です。危険な場所からの避難が必要とされる警戒レベル４に相当します。,this is level 4 which indicates that needs to refuge from dangerous place. And this is a piece of standard information that municipalities issue evacuation order.,
12,lv4,災害が想定されている区域等では、自治体からの避難指示の発令に留意するとともに、避難指示が発令されていなくてもキキクル（危険度分布）や河川の水位情報等を用いて自ら避難の判断をしてください。,please pay attension to anouncement evacuation order、 get ready to refuge and figure to refuge by yourselves by considering Kikikuru or River water level infomation. ,
13,lv5,高い所へ避難！！川から離れる！,refuge to higher ground ! leave river !,
14,lv5,地元の自治体が警戒レベル５緊急安全確保を発令する判断材料となる情報です。災害が発生又は切迫していることを示す警戒レベル５に相当します。,this is level 5 which indicates that disasters are coming or occured. And this can be information that municipalities issue emergency ensuring safety order.,
15,lv5,何らかの災害がすでに発生している可能性が極めて高い状況となっています。命の危険が迫っているため直ちに身の安全を確保してください。,it is very likely that some kind of disaster has been occurred. Please ensure safety immediately as danger is approaching to your life.,
0,hzSave,インターネットに接続できない状態に備えて、ハザードマップを保存するページです。最大４画面保存できます。,This page saves hazard maps in preparation for situations where you cannot connect to the Internet. Up to 4 screens can be saved.,
