@code,コードが示す地域等,@name,eng,areacode,vi,cha,areaCode2
123000,北海道登別市,登別市,Noboribetsu City,306,thành phố Noboribetsu,登别市,015010
123100,北海道恵庭市,恵庭市,Eniwa City,307,thành phố Eniwa,惠庭市,016010
123301,気象庁予報警報規程別表第四の二に示す「伊達市伊達」の区域,伊達市伊達,"Date,  Date City",306,"Date, thành phố Date",伊达市伊达,015010
123302,気象庁予報警報規程別表第四の二に示す「伊達市大滝」の区域,伊達市大滝,"Otaki,  Date City",306,"Otaki, thành phố Date",伊达市大泷,015010
123400,北海道北広島市,北広島市,Kitahiroshima City,307,thành phố Kitahiroshima,北广岛市,016010
123500,北海道石狩市,石狩市,Ishikari City,307,thành phố Ishikari,石狩市,016010
123600,北海道北斗市,北斗市,Hokuto City,308,thành phố Hokuto,北斗市,017010
130300,北海道当別町,当別町,Tobetsu Town,307,thị trấn Tobetsu,当别町,016010
130400,北海道新篠津村,新篠津村,Shinshinotsu Village,307,làng Shinshinotsu,新篠津村,016010
133100,北海道松前町,松前町,Matsumae Town,308,thị trấn Matsumae,松前町,017020
133200,北海道福島町,福島町,Fukushima Town,308,thị trấn Fukushima,福岛町,017020
133300,北海道知内町,知内町,Shiriuchi Town,308,thị trấn Shiriuchi,知内町,017020
133400,北海道木古内町,木古内町,Kikonai Town,308,thị trấn Kikonai,木古内町,017020
133700,北海道七飯町,七飯町,Nanae Town,308,thị trấn Nanae,七饭町,017010
134300,北海道鹿部町,鹿部町,Shikabe Town,308,thị trấn Shikabe,鹿部町,017010
134500,北海道森町,森町,Mori Town,308,thị trấn Mori,森町,017010
134601,気象庁予報警報規程別表第四の二に示す「八雲町八雲」の区域,八雲町八雲,"Yakumo, Yakumo Town",308,"Yakumo, thị trấn Yakumo",八云町八云,017010
134602,気象庁予報警報規程別表第四の二に示す「八雲町熊石」の区域,八雲町熊石,"Kumaishi, Yakumo Town",308,"Kumaishi, thị trấn Yakumo",八云町熊石,017010
134700,北海道長万部町,長万部町,Oshamambe Town,308,thị trấn Oshamambe,长万部町,017010
136100,北海道江差町,江差町,Esashi Town,308,thị trấn Esashi,江差町,017020
136200,北海道上ノ国町,上ノ国町,Kaminokuni Town,308,thị trấn Kaminokuni,上之国町,017020
136300,北海道厚沢部町,厚沢部町,Assabu Town,308,thị trấn Assabu,厚泽部町,017020
136400,北海道乙部町,乙部町,Otobe Town,308,thị trấn Otobe,乙部町,017020
136700,北海道奥尻町,奥尻町,Okushiri Town,308,thị trấn Okushiri,奥尻町,017020
137000,北海道今金町,今金町,Imakane Town,308,thị trấn Imakane,今金町,017020
137100,北海道せたな町,せたな町,Setana Town,308,thị trấn Setana,濑棚町,017020
139100,北海道島牧村,島牧村,Shimamaki Village,307,làng Shimamaki,岛牧村,016030
139200,北海道寿都町,寿都町,Suttsu Town,307,thị trấn Suttsu,寿都町,016030
139300,北海道黒松内町,黒松内町,Kuromatsunai Town,307,thị trấn Kuromatsunai,黑松内町,016030
139400,北海道蘭越町,蘭越町,Rankoshi Town,307,thị trấn Rankoshi,兰越町,016030
139500,北海道ニセコ町,ニセコ町,Niseko Town,307,thị trấn Niseko,新雪谷町,016030
139600,北海道真狩村,真狩村,Makkari Village,307,làng Makkari,真狩村,016030
139700,北海道留寿都村,留寿都村,Rusutsu Village,307,làng Rusutsu,留寿都村,016030
139800,北海道喜茂別町,喜茂別町,Kimobetsu Town,307,thị trấn Kimobetsu,喜茂别町,016030
139900,北海道京極町,京極町,Kyogoku Town,307,thị trấn Kyogoku,京极町,016030
140000,北海道倶知安町,倶知安町,Kutchan Town,307,thị trấn Kutchan,俱知安町,016030
140100,北海道共和町,共和町,Kyowa Town,307,thị trấn Kyowa,共和町,016030
140200,北海道岩内町,岩内町,Iwanai Town,307,thị trấn Iwanai,岩内町,016030
140300,北海道泊村,泊村,Tomari Village,307,làng Tomari,泊村,016030
140400,北海道神恵内村,神恵内村,Kamoenai Village,307,làng Kamoenai,神惠内村,016030
140500,北海道積丹町,積丹町,Shakotan Town,307,thị trấn Shakotan,积丹町,016030
140600,北海道古平町,古平町,Furubira Town,307,thị trấn Furubira,古平町,016030
140700,北海道仁木町,仁木町,Niki Town,307,thị trấn Niki,仁木町,016030
140800,北海道余市町,余市町,Yoichi Town,307,thị trấn Yoichi,余市町,016030
140900,北海道赤井川村,赤井川村,Akaigawa Village,307,làng Akaigawa,赤井川村,016030
142300,北海道南幌町,南幌町,Namporo Town,307,thị trấn Namporo,南幌町,016020
142400,北海道奈井江町,奈井江町,Naie Town,307,thị trấn Naie,奈井江町,016020
142500,北海道上砂川町,上砂川町,Kamisunagawa Town,307,thị trấn Kamisunagawa,上砂川町,016020
142700,北海道由仁町,由仁町,Yuni Town,307,thị trấn Yuni,由仁町,016020
142800,北海道長沼町,長沼町,Naganuma Town,307,thị trấn Naganuma,长沼町,016020
142900,北海道栗山町,栗山町,Kuriyama Town,307,thị trấn Kuriyama,栗山町,016020
143000,北海道月形町,月形町,Tsukigata Town,307,thị trấn Tsukigata,月形町,016020
143100,北海道浦臼町,浦臼町,Urausu Town,307,thị trấn Urausu,浦臼町,016020
143200,北海道新十津川町,新十津川町,Shintotsukawa Town,307,thị trấn Shintotsukawa,新十津川町,016020
143300,北海道妹背牛町,妹背牛町,Moseushi Town,307,thị trấn Moseushi,妹背牛町,016020
143400,北海道秩父別町,秩父別町,Chippubetsu Town,307,thị trấn Chippubetsu,秩父别町,016020
143600,北海道雨竜町,雨竜町,Uryu Town,307,thị trấn Uryu,雨龙町,016020
143700,北海道北竜町,北竜町,Hokuryu Town,307,thị trấn Hokuryu,北龙町,016020
143800,北海道沼田町,沼田町,Numata Town,307,thị trấn Numata,沼田町,016020
145200,北海道鷹栖町,鷹栖町,Takasu Town,302,thị trấn Takasu,鹰栖町,012010
145300,北海道東神楽町,東神楽町,Higashikagura Town,302,thị trấn Higashikagura,东神乐町,012010
145400,北海道当麻町,当麻町,Toma Town,302,thị trấn Toma,当麻町,012010
145500,北海道比布町,比布町,Pippu Town,302,thị trấn Pippu,比布町,012010
145600,北海道愛別町,愛別町,Aibetsu Town,302,thị trấn Aibetsu,爱别町,012010
145700,北海道上川町,上川町,Kamikawa Town,302,thị trấn Kamikawa,上川町,012010
145800,北海道東川町,東川町,Higashikawa Town,302,thị trấn Higashikawa,东川町,012010
145900,北海道美瑛町,美瑛町,Biei Town,302,thị trấn Biei,美瑛町,012010
146000,北海道上富良野町,上富良野町,Kamifurano Town,302,thị trấn Kamifurano,上富良野町,012010
146100,北海道中富良野町,中富良野町,Nakafurano Town,302,thị trấn Nakafurano,中富良野町,012010
146200,北海道南富良野町,南富良野町,Minamifurano Town,302,thị trấn Minamifurano,南富良野町,012010
146300,北海道占冠村,占冠村,Shimukappu Village,302,làng Shimukappu,占冠村,012010
146400,北海道和寒町,和寒町,Wassamu Town,302,thị trấn Wassamu,和寒町,012010
146500,北海道剣淵町,剣淵町,Kembuchi Town,302,thị trấn Kembuchi,剑渊町,012010
146800,北海道下川町,下川町,Shimokawa Town,302,thị trấn Shimokawa,下川町,012010
146900,北海道美深町,美深町,Bifuka Town,302,thị trấn Bifuka,美深町,012010
147000,北海道音威子府村,音威子府村,Otoineppu Village,302,làng Otoineppu,音威子府村,012010
147100,北海道中川町,中川町,Nakagawa Town,302,thị trấn Nakagawa,中川町,012010
147200,北海道幌加内町,幌加内町,Horokanai Town,302,thị trấn Horokanai,幌加内町,012010
148100,北海道増毛町,増毛町,Mashike Town,302,thị trấn Mashike,增毛町,012020
148200,北海道小平町,小平町,Obira Town,302,thị trấn Obira,小平町,012020
148300,北海道苫前町,苫前町,Tomamae Town,302,thị trấn Tomamae,苫前町,012020
148401,気象庁予報警報規程別表第四の二に示す「羽幌町」の区域,羽幌町,Haboro Town,302,thị trấn Haboro,羽幌町,012020
148402,気象庁予報警報規程別表第四の二に示す「天売焼尻」の区域,天売焼尻,"Teuri-Yagishiri, Haboro Town",302,thị trấn Haboro,羽幌町,012020
148500,北海道初山別村,初山別村,Shosambetsu Village,302,làng Shosambetsu,初山别村,012020
148600,北海道遠別町,遠別町,Embetsu Town,302,thị trấn Embetsu,远别町,012020
148700,北海道天塩町,天塩町,Teshio Town,302,thị trấn Teshio,天盐町,011000
151100,北海道猿払村,猿払村,Sarufutsu Village,301,làng Sarufutsu,猿拂村,011000
151200,北海道浜頓別町,浜頓別町,Hamatombetsu Town,301,thị trấn Hamatombetsu,滨顿别町,011000
151300,北海道中頓別町,中頓別町,Nakatombetsu Town,301,thị trấn Nakatombetsu,中顿别町,011000
151400,北海道枝幸町,枝幸町,Esashi Town,301,thị trấn Esashi,枝幸町,011000
151600,北海道豊富町,豊富町,Toyotomi Town,301,thị trấn Toyotomi,丰富町,011000
151700,北海道礼文町,礼文町,Rebun Town,301,thị trấn Rebun,礼文町,011000
151800,北海道利尻町,利尻町,Rishiri Town,301,thị trấn Rishiri,利尻町,011000
151900,北海道利尻富士町,利尻富士町,Rishirifuji Town,301,thị trấn Rishirifuji,利尻富士町,011000
152000,北海道幌延町,幌延町,Horonobe Town,301,thị trấn Horonobe,幌延町,011000
154300,北海道美幌町,美幌町,Bihoro Town,303,thị trấn Bihoro,美幌町,013010
154400,北海道津別町,津別町,Tsubetsu Town,303,thị trấn Tsubetsu,津别町,013010
154500,北海道斜里町,斜里町,Shari Town,303,thị trấn Shari,斜里町,013010
154600,北海道清里町,清里町,Kiyosato Town,303,thị trấn Kiyosato,清里町,013010
154700,北海道小清水町,小清水町,Koshimizu Town,303,thị trấn Koshimizu,小清水町,013010
154900,北海道訓子府町,訓子府町,Kunneppu Town,303,thị trấn Kunneppu,训子府町,013020
155000,北海道置戸町,置戸町,Oketo Town,303,thị trấn Oketo,置户町,013020
155200,北海道佐呂間町,佐呂間町,Saroma Town,303,thị trấn Saroma,佐吕间町,013010
155500,北海道遠軽町,遠軽町,Engaru Town,303,thị trấn Engaru,远轻町,013030
155900,北海道湧別町,湧別町,Yubetsu Town,303,thị trấn Yubetsu,涌别町,013030
156000,北海道滝上町,滝上町,Takinoue Town,303,thị trấn Takinoue,泷上町,013030
156100,北海道興部町,興部町,Okoppe Town,303,thị trấn Okoppe,兴部町,013030
156200,北海道西興部村,西興部村,Nishiokoppe Village,303,làng Nishiokoppe,西兴部村,013030
156300,北海道雄武町,雄武町,Omu Town,303,thị trấn Omu,雄武町,013030
156400,北海道大空町,大空町,Ozora Town,303,thị trấn Ozora,大空町,013010
157100,北海道豊浦町,豊浦町,Toyoura Town,306,thị trấn Toyoura,丰浦町,015010
157500,北海道壮瞥町,壮瞥町,Sobetsu Town,306,thị trấn Sobetsu,壮瞥町,015010
157800,北海道白老町,白老町,Shiraoi Town,306,thị trấn Shiraoi,白老町,015010
158100,北海道厚真町,厚真町,Atsuma Town,306,thị trấn Atsuma,厚真町,015010
158400,北海道洞爺湖町,洞爺湖町,Toyako Town,306,thị trấn Toyako,洞爷湖町,015010
158500,北海道安平町,安平町,Abira Town,306,thị trấn Abira,安平町,015010
158600,北海道むかわ町,むかわ町,Mukawa Town,306,thị trấn Mukawa,鹉川町,015010
160101,気象庁予報警報規程別表第四の二に示す「日高町日高」の区域,日高町日高,"Hidaka, Hidaka Town",306,"Hidaka, thị trấn Hidaka",日高町日高,015020
160102,気象庁予報警報規程別表第四の二に示す「日高町門別」の区域,日高町門別,"Monbetsu, Hidaka Town",306,"Monbetsu, thị trấn Hidaka",日高町门別,015020
160200,北海道平取町,平取町,Biratori Town,306,thị trấn Biratori,平取町,015020
160400,北海道新冠町,新冠町,Niikappu Town,306,thị trấn Niikappu,新冠町,015020
160700,北海道浦河町,浦河町,Urakawa Town,306,thị trấn Urakawa,浦河町,015020
160800,北海道様似町,様似町,Samani Town,306,thị trấn Samani,样似町,015020
160900,北海道えりも町,えりも町,Erimo Town,306,thị trấn Erimo,襟裳町,015020
161000,北海道新ひだか町,新ひだか町,Shinhidaka Town,306,thị trấn Shinhidaka,新日高町,015020
163100,北海道音更町,音更町,Otofuke Town,304,thị trấn Otofuke,音更町,014030
163200,北海道士幌町,士幌町,Shihoro Town,304,thị trấn Shihoro,士幌町,014030
163300,北海道上士幌町,上士幌町,Kamishihoro Town,304,thị trấn Kamishihoro,上士幌町,014030
163400,北海道鹿追町,鹿追町,Shikaoi Town,304,thị trấn Shikaoi,鹿追町,014030
163500,北海道新得町,新得町,Shintoku Town,304,thị trấn Shintoku,新得町,014030
163600,北海道清水町,清水町,Shimizu Town,304,thị trấn Shimizu,清水町,014030
163700,北海道芽室町,芽室町,Memuro Town,304,thị trấn Memuro,芽室町,014030
163800,北海道中札内村,中札内村,Nakasatsunai Village,304,làng Nakasatsunai,中札内村,014030
163900,北海道更別村,更別村,Sarabetsu Village,304,làng Sarabetsu,更别村,014030
164100,北海道大樹町,大樹町,Taiki Town,304,thị trấn Taiki,大树町,014030
164200,北海道広尾町,広尾町,Hiroo Town,304,thị trấn Hiroo,广尾町,014030
164300,北海道幕別町,幕別町,Makubetsu Town,304,thị trấn Makubetsu,幕别町,014030
164400,北海道池田町,池田町,Ikeda Town,304,thị trấn Ikeda,池田町,014030
164500,北海道豊頃町,豊頃町,Toyokoro Town,304,thị trấn Toyokoro,丰顷町,014030
164600,北海道本別町,本別町,Hombetsu Town,304,thị trấn Hombetsu,本别町,014030
164700,北海道足寄町,足寄町,Ashoro Town,304,thị trấn Ashoro,足寄町,014030
164800,北海道陸別町,陸別町,Rikubetsu Town,304,thị trấn Rikubetsu,陆别町,014030
164900,北海道浦幌町,浦幌町,Urahoro Town,304,thị trấn Urahoro,浦幌町,014030
166100,北海道釧路町,釧路町,Kushiro Town,302,thị trấn Kushiro,钏路町,014020
166200,北海道厚岸町,厚岸町,Akkeshi Town,305,thị trấn Akkeshi,厚岸町,014020
166300,北海道浜中町,浜中町,Hamanaka Town,305,thị trấn Hamanaka,滨中町,014020
166400,北海道標茶町,標茶町,Shibecha Town,305,thị trấn Shibecha,标茶町,014020
166500,北海道弟子屈町,弟子屈町,Teshikaga Town,305,thị trấn Teshikaga,弟子屈町,014020
166700,北海道鶴居村,鶴居村,Tsurui Village,305,làng Tsurui,鹤居村,014020
166800,北海道白糠町,白糠町,Shiranuka Town,305,thị trấn Shiranuka,白糠町,014020
169100,北海道別海町,別海町,Betsukai Town,305,thị trấn Betsukai,别海町,014010
169200,北海道中標津町,中標津町,Nakashibetsu Town,305,thị trấn Nakashibetsu,中标津町,014010
169300,北海道標津町,標津町,Shibetsu Town,305,thị trấn Shibetsu,标津町,014010
169400,北海道羅臼町,羅臼町,Rausu Town,305,thị trấn Rausu,罗臼町,014010
220100,青森県青森市,青森市,Aomori City,2,thành phố Aomori,青森市,020010
220200,青森県弘前市,弘前市,Hirosaki City,2,thành phố Hirosaki,弘前市,020010
220300,青森県八戸市,八戸市,Hachinohe City,2,thành phố Hachinohe,八户市,020030
220400,青森県黒石市,黒石市,Kuroishi City,2,thành phố Kuroishi,黑石市,020010
220500,青森県五所川原市,五所川原市,Goshogawara City,2,thành phố Goshogawara,五所川原市,020010
220600,青森県十和田市,十和田市,Towada City,2,thành phố Towada,十和田市,020030
220700,青森県三沢市,三沢市,Misawa City,2,thành phố Misawa,三泽市,020030
220800,青森県むつ市,むつ市,Mutsu City,2,thành phố Mutsu,陆奥市,020020
220900,青森県つがる市,つがる市,Tsugaru City,2,thành phố Tsugaru,津轻市,020010
221000,青森県平川市,平川市,Hirakawa City,2,thành phố Hirakawa,平川市,020010
230100,青森県平内町,平内町,Hiranai Town,2,thị trấn Hiranai,平内町,020010
230300,青森県今別町,今別町,Imabetsu Town,2,thị trấn Imabetsu,今别町,020010
230400,青森県蓬田村,蓬田村,Yomogita Village,2,làng Yomogita,蓬田村,020010
230700,青森県外ヶ浜町,外ヶ浜町,Sotogahama Town,2,thị trấn Sotogahama,外滨町,020010
232100,青森県鰺ヶ沢町,鰺ヶ沢町,Ajigasawa Town,2,thị trấn Ajigasawa,鲹泽町,020010
232300,青森県深浦町,深浦町,Fukaura Town,2,thị trấn Fukaura,深浦町,020010
234300,青森県西目屋村,西目屋村,Nishimeya Village,2,làng Nishimeya,西目屋村,020010
236100,青森県藤崎町,藤崎町,Fujisaki Town,2,thị trấn Fujisaki,藤崎町,020010
236200,青森県大鰐町,大鰐町,Owani Town,2,thị trấn Owani,大鳄町,020010
236700,青森県田舎館村,田舎館村,Inakadate Village,2,làng Inakadate,田舍馆村,020010
238100,青森県板柳町,板柳町,Itayanagi Town,2,thị trấn Itayaagi,板柳町,020010
238400,青森県鶴田町,鶴田町,Tsuruta Town,2,thị trấn Tsuruta,鹤田町,020010
238700,青森県中泊町,中泊町,Nakadomari Town,2,thị trấn Nakadomari,中泊町,020010
240100,青森県野辺地町,野辺地町,Noheji Town,2,thị trấn Noheji,野边地町,020030
240200,青森県七戸町,七戸町,Shichinohe Town,2,thị trấn Shichinohe,七户町,020030
240500,青森県六戸町,六戸町,Rokunohe Town,2,thị trấn Rokunohe,六户町,020030
240600,青森県横浜町,横浜町,Yokohama Town,2,thị trấn Yokohama,横滨町,020030
240800,青森県東北町,東北町,Tohoku Town,2,thị trấn Tohoku,东北町,020030
241100,青森県六ヶ所村,六ヶ所村,Rokkasho Village,2,làng Rokkasho,六所村,020030
241200,青森県おいらせ町,おいらせ町,Oirase Town,2,thị trấn Oirase,奥入濑町,020030
242300,青森県大間町,大間町,Oma Town,2,thị trấn Oma,大间町,020020
242400,青森県東通村,東通村,Higashidori Village,2,làng Higashidori,东通村,020020
242500,青森県風間浦村,風間浦村,Kazamaura Village,2,làng Kazamaura,风间浦村,020020
242600,青森県佐井村,佐井村,Sai Village,2,làng Sai,佐井村,020020
244100,青森県三戸町,三戸町,Sannohe Town,2,thị trấn Sannohe,三户町,020030
244200,青森県五戸町,五戸町,Gonohe Town,2,thị trấn Gonohe,五户町,020030
244300,青森県田子町,田子町,Takko Town,2,thị trấn Takko,田子町,020030
244500,青森県南部町,南部町,Nambu Town,2,thị trấn Nambu,南部町,020030
244600,青森県階上町,階上町,Hashikami Town,2,thị trấn Hashikami,阶上町,020030
245000,青森県新郷村,新郷村,Shingo Village,2,làng Shingo,新乡村,020030
320100,岩手県盛岡市,盛岡市,Morioka City,3,thành phố Morioka,盛冈市,030010
320200,岩手県宮古市,宮古市,Miyako City,3,thành phố Miyako,宫古市,030020
320300,岩手県大船渡市,大船渡市,Ofunato City,3,thành phố Ofunato,大船渡市,030030
320500,岩手県花巻市,花巻市,Hanamaki City,3,thành phố Hanamaki,花卷市,030010
320600,岩手県北上市,北上市,Kitakami City,3,thành phố Kitakami,北上市,030010
320700,岩手県久慈市,久慈市,Kuji City,3,thành phố Kuji,久慈市,030020
320800,岩手県遠野市,遠野市,Tono City,3,thành phố Tono,远野市,030010
320900,岩手県一関市,一関市,Ichinoseki City,3,thành phố Ichinoseki,一关市,030010
321000,岩手県陸前高田市,陸前高田市,Rikuzentakata City,3,thành phố Rikuzentakata,陆前高田市,030030
321100,岩手県釜石市,釜石市,Kamaishi City,3,thành phố Kamaishi,釜石市,030030
321300,岩手県二戸市,二戸市,Ninohe City,3,thành phố Ninohe,二户市,030010
321400,岩手県八幡平市,八幡平市,Hachimantai City,3,thành phố Hachimantai,八幡平市,030010
321500,岩手県奥州市,奥州市,Oshu City,3,thành phố Oshu,奥州市,030010
321600,岩手県滝沢市,滝沢市,Takizawa City,3,Thành phố Takizawa,泷泽市,030010
330100,岩手県雫石町,雫石町,Shizukuishi Town,3,thị trấn Shizukuishi,雫石町,030010
330200,岩手県葛巻町,葛巻町,Kuzumaki Town,3,thị trấn Kuzumaki,葛卷町,030010
330300,岩手県岩手町,岩手町,Iwate Town,3,thị trấn Iwate,岩手町,030010
332100,岩手県紫波町,紫波町,Shiwa Town,3,thị trấn Shiwa,紫波町,030010
332200,岩手県矢巾町,矢巾町,Yahaba Town,3,thị trấn Yahaba,矢巾町,030010
336600,岩手県西和賀町,西和賀町,Nishiwaga Town,3,thị trấn Nishiwaga,西和贺町,030010
338100,岩手県金ケ崎町,金ケ崎町,Kanegasaki Town,3,thị trấn Kanegasaki,金崎町,030010
340200,岩手県平泉町,平泉町,Hiraizumi Town,3,thị trấn Hiraizumi,平泉町,030010
344100,岩手県住田町,住田町,Sumita Town,3,thị trấn Sumita,住田町,030030
346100,岩手県大槌町,大槌町,Otsuchi Town,3,thị trấn Otsuchi,大槌町,030030
348200,岩手県山田町,山田町,Yamada Town,3,thị trấn Yamada,山田町,030020
348300,岩手県岩泉町,岩泉町,Iwaizumi Town,3,thị trấn Iwaizumi,岩泉町,030020
348400,岩手県田野畑村,田野畑村,Tanohata Village,3,làng Tanohata,田野畑村,030020
348500,岩手県普代村,普代村,Fudai Village,3,làng Fudai,普代村,030020
350100,岩手県軽米町,軽米町,Karumai Town,3,thị trấn Karumai,轻米町,030010
350300,岩手県野田村,野田村,Noda Village,3,làng Noda,野田村,030020
350600,岩手県九戸村,九戸村,Kunohe Village,3,làng Kunohe,九户村,030010
350700,岩手県洋野町,洋野町,Hirono Town,3,thị trấn Hirono,洋野町,030020
352400,岩手県一戸町,一戸町,Ichinohe Town,3,thị trấn Ichinohe,一户町,030010
410001,気象庁予報警報規程別表第四の二に示す「仙台市東部」の区域,仙台市東部,Eastern Sendai City,4,Miền Đông thành phố Sendai,仙台市东部,040010
410002,気象庁予報警報規程別表第四の二に示す「仙台市西部」の区域,仙台市西部,Western Sendai City,4,Miền Tây thành phố Sendai,仙台市西部,040020
420200,宮城県石巻市,石巻市,Ishinomaki City,4,thành phố Ishinomaki,石卷市,040010
420300,宮城県塩竈市,塩竈市,Shiogama City,4,thành phố Shiogama,盐灶市,040010
420500,宮城県気仙沼市,気仙沼市,Kesennuma City,4,thành phố Kesennuma,气仙沼市,040010
420600,宮城県白石市,白石市,Shiroishi City,4,thành phố Shiroishi,白石市,040020
420700,宮城県名取市,名取市,Natori City,4,thành phố Natori,名取市,040010
420800,宮城県角田市,角田市,Kakuda City,4,thành phố Kakuda,角田市,040010
420900,宮城県多賀城市,多賀城市,Tagajo City,4,thành phố Tagajo,多贺城市,040010
421100,宮城県岩沼市,岩沼市,Iwanuma City,4,thành phố Iwanuma,岩沼市,040010
421200,宮城県登米市,登米市,Tome City,4,thành phố Tome,登米市,040010
421301,気象庁予報警報規程別表第四の二に示す「栗原市東部」の区域,栗原市東部,Eastern Kurihara City,4,Miền Đông thành phố Kurihara,栗原市东部,040010
421302,気象庁予報警報規程別表第四の二に示す「栗原市西部」の区域,栗原市西部,Western Kurihara City,4,Miền Tây thành phố Kurihara,栗原市西部,040020
421400,宮城県東松島市,東松島市,Higashimatsushima City,4,thành phố Higashimatsushima,东松岛市,040010
421501,気象庁予報警報規程別表第四の二に示す「大崎市東部」の区域,大崎市東部,Eastern Osaki City,4,Miền Đông thành phố Osaki,大崎市东部,040010
421502,気象庁予報警報規程別表第四の二に示す「大崎市西部」の区域,大崎市西部,Western Osaki City,4,Miền Tây thành phố Osaki,大崎市西部,040020
421600,宮城県富谷市,富谷市,Tomiya City,4,Thành phố Tomiya,富谷市,040010
430100,宮城県蔵王町,蔵王町,Zao Town,4,thị trấn Zao,藏王町,040020
430200,宮城県七ヶ宿町,七ヶ宿町,Shichikashuku Town,4,thị trấn Shichikashuku,七宿町,040020
432100,宮城県大河原町,大河原町,Ogawara Town,4,thị trấn Ogawara,大河原町,040010
432200,宮城県村田町,村田町,Murata Town,4,thị trấn Murata,村田町,040010
432300,宮城県柴田町,柴田町,Shibata Town,4,thị trấn Shibata,柴田町,040010
432400,宮城県川崎町,川崎町,Kawasaki Town,4,thị trấn Kawasaki,川崎町,040020
434100,宮城県丸森町,丸森町,Marumori Town,4,thị trấn Marumori,丸森町,040010
436100,宮城県亘理町,亘理町,Watari Town,4,thị trấn Watari,亘理町,040010
436200,宮城県山元町,山元町,Yamamoto Town,4,thị trấn Yamamoto,山元町,040010
440100,宮城県松島町,松島町,Matsushima Town,4,thị trấn Matsushima,松岛町,040010
440400,宮城県七ヶ浜町,七ヶ浜町,Shichigahama Town,4,thị trấn Shichigahama,七滨町,040010
440600,宮城県利府町,利府町,Rifu Town,4,thị trấn Rifu,利府町,040010
442101,気象庁予報警報規程別表第四の二に示す「大和町東部」の区域,大和町東部,Eastern Taiwa Town ,4,Miền Đông thành phố Taiwa,大和町东部,040010
442102,気象庁予報警報規程別表第四の二に示す「大和町西部」の区域,大和町西部,Western Taiwa Town ,4,Miền Tây thành phố Taiwa,大和町西部,040020
442200,宮城県大郷町,大郷町,Osato Town,4,thị trấn Osato,大乡町,040010
